shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1_0_shp,35.2753335,129.0927037,11
1_0_shp,35.2749509,129.092649,12
1_0_shp,35.2746517,129.0926282,13
1_0_shp,35.2731559,129.0926506,14
1_0_shp,35.2708793,129.0926904,15
1_0_shp,35.2671592,129.0927625,16
1_0_shp,35.2667568,129.0927672,17
1_0_shp,35.2664338,129.0927151,18
1_0_shp,35.2659966,129.0926504,19
1_0_shp,35.2652441,129.0924596,20
1_0_shp,35.2635149,129.0920894,21
1_0_shp,35.2605812,129.0914418,22
1_0_shp,35.2603812,129.0914178,23
1_0_shp,35.2600044,129.0914095,24
1_0_shp,35.2570657,129.0913781,25
1_0_shp,35.2569913,129.0913773,26
1_0_shp,35.2569583,129.091377,27
1_0_shp,35.2569231,129.0913766,28
1_0_shp,35.256863,129.091379,29
1_0_shp,35.2563956,129.0913977,30
1_0_shp,35.2563528,129.0913994,31
1_0_shp,35.2559144,129.091446,32
1_0_shp,35.2552901,129.0915286,33
1_0_shp,35.2548486,129.0915795,34
1_0_shp,35.2543117,129.0916655,35
1_0_shp,35.2538769,129.0917309,36
1_0_shp,35.25361,129.0917517,37
1_0_shp,35.253373,129.0917523,38
1_0_shp,35.2530156,129.0917335,39
1_0_shp,35.2528551,129.0917266,40
1_0_shp,35.2525683,129.0916923,41
1_0_shp,35.2521316,129.0916615,42
1_0_shp,35.2510394,129.0915634,43
1_0_shp,35.2502836,129.0914976,44
1_0_shp,35.2480424,129.091343,45
1_0_shp,35.2468777,129.0912488,46
1_0_shp,35.246602,129.0912264,47
1_0_shp,35.2458721,129.0911344,48
1_0_shp,35.2445753,129.0910271,49
1_0_shp,35.244279,129.0909911,50
1_0_shp,35.2441209,129.0909617,51
1_0_shp,35.2440198,129.0909334,52
1_0_shp,35.2439039,129.0909009,53
1_0_shp,35.2438167,129.0908742,54
1_0_shp,35.2437073,129.0908312,55
1_0_shp,35.2435998,129.0907887,56
1_0_shp,35.2434466,129.0907208,57
1_0_shp,35.2432566,129.0906194,58
1_0_shp,35.2430263,129.090469,59
1_0_shp,35.2428878,129.0903579,60
1_0_shp,35.2427207,129.0901999,61
1_0_shp,35.24254,129.09003,62
1_0_shp,35.2424162,129.0898999,63
1_0_shp,35.2422414,129.0897071,64
1_0_shp,35.2420814,129.0895437,65
1_0_shp,35.2418926,129.0893348,66
1_0_shp,35.2417142,129.0891442,67
1_0_shp,35.2415178,129.088965,68
1_0_shp,35.2413408,129.0888118,69
1_0_shp,35.2411536,129.0886721,70
1_0_shp,35.2409595,129.0885506,71
1_0_shp,35.2407783,129.0884569,72
1_0_shp,35.2406657,129.0884031,73
1_0_shp,35.240505,129.0883408,74
1_0_shp,35.2403593,129.0882977,75
1_0_shp,35.2402064,129.0882591,76
1_0_shp,35.2400246,129.0882104,77
1_0_shp,35.2398412,129.0881826,78
1_0_shp,35.2389099,129.0880759,79
1_0_shp,35.2388511,129.0880691,80
1_0_shp,35.2388384,129.0880673,81
1_0_shp,35.2387822,129.0880624,82
1_0_shp,35.238706,129.0880538,83
1_0_shp,35.2385895,129.0880538,84
1_0_shp,35.2384563,129.0880452,85
1_0_shp,35.2381233,129.0880795,86
1_0_shp,35.2380432,129.0881014,87
1_0_shp,35.2379349,129.088131,88
1_0_shp,35.2377509,129.0881654,89
1_0_shp,35.237332,129.0883025,90
1_0_shp,35.2372764,129.0883267,91
1_0_shp,35.2369562,129.0884576,92
1_0_shp,35.2368581,129.0884997,93
1_0_shp,35.2368544,129.0885013,94
1_0_shp,35.2368174,129.0885172,95
1_0_shp,35.2366492,129.0885895,96
1_0_shp,35.2360898,129.0888299,97
1_0_shp,35.2350333,129.0892675,98
1_0_shp,35.2348794,129.0893239,99
1_0_shp,35.2345749,129.0893982,100
1_0_shp,35.2343713,129.0894311,101
1_0_shp,35.2341564,129.08945,102
1_0_shp,35.2340062,129.0894525,103
1_0_shp,35.2338217,129.0894507,104
1_0_shp,35.2336014,129.0894252,105
1_0_shp,35.2333412,129.0893797,106
1_0_shp,35.2329493,129.0893105,107
1_0_shp,35.2325966,129.0892489,108
1_0_shp,35.2321185,129.0891655,109
1_0_shp,35.2317857,129.0891265,110
1_0_shp,35.231571,129.0891068,111
1_0_shp,35.2314346,129.0891029,112
1_0_shp,35.2311814,129.0891211,113
1_0_shp,35.2307934,129.0891657,114
1_0_shp,35.230589,129.0891995,115
1_0_shp,35.2305781,129.089203,116
1_0_shp,35.2304159,129.0892297,117
1_0_shp,35.2301662,129.089264,118
1_0_shp,35.2299734,129.0892812,119
1_0_shp,35.2296942,129.0893198,120
1_0_shp,35.2295702,129.0893327,121
1_0_shp,35.2292153,129.0893413,122
1_0_shp,35.2287186,129.0893428,123
1_0_shp,35.2285005,129.089323,124
1_0_shp,35.2275089,129.0891815,125
1_0_shp,35.2269594,129.089111,126
1_0_shp,35.2263238,129.0890235,127
1_0_shp,35.2260045,129.0889825,128
1_0_shp,35.2258352,129.0889625,129
1_0_shp,35.2256511,129.0889327,130
1_0_shp,35.2255036,129.0888967,131
1_0_shp,35.2251676,129.0888099,132
1_0_shp,35.224864,129.0887118,133
1_0_shp,35.224639,129.0886325,134
1_0_shp,35.224431,129.0885397,135
1_0_shp,35.2233906,129.0880387,136
1_0_shp,35.2221363,129.0873572,137
1_0_shp,35.221114,129.0868009,138
1_0_shp,35.2210603,129.0867687,139
1_0_shp,35.2200379,129.0861878,140
1_0_shp,35.2195553,129.0859136,141
